Ano Censo,Número de Cursos,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Sigla UF,Sigla Região
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM ADMINISTRACAO LEGISLATIVA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM ADMINISTRACAO PUBLICA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS - CAMPUS NATAL-CENTRAL,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS EIXOTECNOLOGICO INFORMACAO E COMUNICACAO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM AUTOMACAO INDUSTRIAL - CAMPUS NATAL-CENTRAL,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM BANCO DE DADOS AREA PROFISSIONAL INFORMATICA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM COMERCIO EXTERIOR,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM COMERCIO EXTERIOR - CAMPUS NATAL-CENTRAL,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM COMERCIO EXTERIOR ED,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM CONSTRUCAO DE EDIFICIOS - CAMPUS NATAL-CENTRAL,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM DESENVOLVIMENTO DE SOFTWARE - CAMPUS NATAL-CENTRAL,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM DESIGN GRAFICO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM ESTETICA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM FABRICACAO MECANICA - CAMPUS NATAL-CENTRAL,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM FUNDAMENTOS JURIDICOS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GASTRONOMIA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO AMBIENTAL,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO AMBIENTAL,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO AMBIENTAL - CAMPUS NATAL-CENTRAL,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO COMERCIAL  MODALIDADE A DISTANCIA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO COMERCIAL EIXO TECNOLOGICO GESTAO E NEGOCIOS,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DA PRODUCAO INDUSTRIALAGRUPAMENTO DE AREAS PROFISSIONAIS INDUSTRIA QUIMICA E MINERACAOED,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DA TECNOLOGIA DA INFORMACAO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DA TECNOLOGIA DA INFORMACAO,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE BELEZA,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE COMERCIO EXTERIOR,RN,NE
2009,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE COOPERATIVAS,RN,NE
