Ano Censo,Número de Cursos,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Nome Curso,Sigla UF,Sigla Região
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO PÚBLICA,GESTÃO PÚBLICA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,GESTÃO PÚBLICA,GESTÃO PÚBLICA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,INFORMÁTICA,INFORMÁTICA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,LETRAS,LETRAS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,LETRAS - ESPANHOL,LETRAS - ESPANHOL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,LETRAS - ESPANHOL,LETRAS - ESPANHOL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,LETRAS - ESPANHOL,LETRAS - ESPANHOL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,LETRAS - INGLÊS,LETRAS - INGLÊS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,LETRAS - LÍNGUA PORTUGUESA,LETRAS - LÍNGUA PORTUGUESA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,LETRAS - PORTUGUÊS,LETRAS - PORTUGUÊS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,LETRAS - PORTUGUÊS E INGLÊS,LETRAS - PORTUGUÊS E INGLÊS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,LOGÍSTICA,LOGÍSTICA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,LOGÍSTICA,LOGÍSTICA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,LOGÍSTICA,LOGÍSTICA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,LOGÍSTICA,LOGÍSTICA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,LOGÍSTICA,LOGÍSTICA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,MARKETING,MARKETING,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,MARKETING,MARKETING,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,MARKETING,MARKETING,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,MARKETING,MARKETING,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,MARKETING,MARKETING,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,MATEMÁTICA,MATEMÁTICA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,MATEMÁTICA,MATEMÁTICA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,MATEMÁTICA,MATEMÁTICA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,MATEMÁTICA,MATEMÁTICA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,MATEMÁTICA,MATEMÁTICA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,MULTIMÍDIA DIGITAL,MULTIMÍDIA DIGITAL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,NEGÓCIOS IMOBILIÁRIOS,NEGÓCIOS IMOBILIÁRIOS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,NUTRIÇÃO,NUTRIÇÃO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PEDAGOGIA,PEDAGOGIA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PEDAGOGIA,PEDAGOGIA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PEDAGOGIA,PEDAGOGIA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PEDAGOGIA,PEDAGOGIA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PEDAGOGIA,PEDAGOGIA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PEDAGOGIA,PEDAGOGIA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PEDAGOGIA,PEDAGOGIA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PEDAGOGIA,PEDAGOGIA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PEDAGOGIA,PEDAGOGIA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PETRÓLEO E GÁS,PETRÓLEO E GÁS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PROCESSOS GERENCIAIS,PROCESSOS GERENCIAIS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PROCESSOS GERENCIAIS,PROCESSOS GERENCIAIS,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PRODUÇÃO CULTURAL,PRODUÇÃO CULTURAL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PROGRAMA ESPECIAL DE FORMAÇÃO PEDAGÓGICA PARA FORMADORES DE EDUCAÇÃO PROFISSIONAL,PROGRAMA ESPECIAL DE FORMAÇÃO PEDAGÓGICA PARA FORMADORES DE EDUCAÇÃO PROFISSIONAL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PSICOLOGIA,PSICOLOGIA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PSICOLOGIA,PSICOLOGIA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,PUBLICIDADE E PROPAGANDA - PUBLICIDADE E PROPAGANDA,PUBLICIDADE E PROPAGANDA - PUBLICIDADE E PROPAGANDA,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,REDES DE COMPUTADORES,REDES DE COMPUTADORES,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,REDES DE COMPUTADORES,REDES DE COMPUTADORES,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,SECRETARIADO,SECRETARIADO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,SECRETARIADO,SECRETARIADO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,SERVIÇO SOCIAL,SERVIÇO SOCIAL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,SERVIÇO SOCIAL,SERVIÇO SOCIAL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,SERVIÇO SOCIAL,SERVIÇO SOCIAL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,SERVIÇO SOCIAL,SERVIÇO SOCIAL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,SERVIÇO SOCIAL,SERVIÇO SOCIAL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,SERVIÇO SOCIAL,SERVIÇO SOCIAL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,SERVIÇO SOCIAL,SERVIÇO SOCIAL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,SERVIÇO SOCIAL,SERVIÇO SOCIAL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,SERVIÇO SOCIAL,SERVIÇO SOCIAL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,SERVIÇO SOCIAL,SERVIÇO SOCIAL,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,SISTEMA DE INFORMAÇÃO,SISTEMA DE INFORMAÇÃO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,SISTEMAS DE INFORMAÇÃO,SISTEMAS DE INFORMAÇÃO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,SISTEMAS PARA INTERNET,SISTEMAS PARA INTERNET,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,TURISMO,TURISMO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,TURISMO,TURISMO,RN,NE
2010,,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,WEB DESIGN E PROGRAMAÇÃO,WEB DESIGN E PROGRAMAÇÃO,RN,NE
