Ano Censo,Número de Matrículas,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Nome Curso,Sigla UF,Sigla Região
2012,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2012,321,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2012,588,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2012,231,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2012,336,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2012,47,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2012,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS CONTÁBEIS,CIÊNCIAS CONTÁBEIS,RN,NE
2012,148,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS DA RELIGIÃO,CIÊNCIAS DA RELIGIÃO,RN,NE
2012,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS ECONÔMICAS,CIÊNCIAS ECONÔMICAS,RN,NE
2012,331,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS ECONÔMICAS,CIÊNCIAS ECONÔMICAS,RN,NE
2012,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS,RN,NE
2012,227,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS,RN,NE
2012,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS,RN,NE
2012,171,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS,RN,NE
2012,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CIÊNCIAS SOCIAIS - SOCIOLOGIA,CIÊNCIAS SOCIAIS - SOCIOLOGIA,RN,NE
