Ano Censo,Número de Matrículas,Nome Região,Nome UF,Nome Localização,Nome Município,Nome Curso,Sigla UF,Sigla Região
2009,110,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM AUTOMACAO INDUSTRIAL - CAMPUS NATAL-CENTRAL,RN,NE
2009,115,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM BANCO DE DADOS AREA PROFISSIONAL INFORMATICA,RN,NE
2009,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM COMERCIO EXTERIOR,RN,NE
2009,109,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM COMERCIO EXTERIOR - CAMPUS NATAL-CENTRAL,RN,NE
2009,8,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM COMERCIO EXTERIOR ED,RN,NE
2009,154,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM CONSTRUCAO DE EDIFICIOS - CAMPUS NATAL-CENTRAL,RN,NE
2009,16,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM DESENVOLVIMENTO DE SOFTWARE - CAMPUS NATAL-CENTRAL,RN,NE
2009,158,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM DESIGN GRAFICO,RN,NE
2009,195,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM ESTETICA,RN,NE
2009,106,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM FABRICACAO MECANICA - CAMPUS NATAL-CENTRAL,RN,NE
2009,9,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM FUNDAMENTOS JURIDICOS,RN,NE
2009,492,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GASTRONOMIA,RN,NE
2009,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO AMBIENTAL,RN,NE
2009,260,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO AMBIENTAL,RN,NE
2009,170,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO AMBIENTAL - CAMPUS NATAL-CENTRAL,RN,NE
2009,2,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO COMERCIAL  MODALIDADE A DISTANCIA,RN,NE
2009,55,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO COMERCIAL EIXO TECNOLOGICO GESTAO E NEGOCIOS,RN,NE
2009,7,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DA PRODUCAO INDUSTRIALAGRUPAMENTO DE AREAS PROFISSIONAIS INDUSTRIA QUIMICA E MINERACAOED,RN,NE
2009,6,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DA TECNOLOGIA DA INFORMACAO,RN,NE
2009,24,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE BELEZA,RN,NE
2009,98,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE RECURSOS HUMANOS,RN,NE
2009,11,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE RECURSOS HUMANOS,RN,NE
2009,149,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE RECURSOS HUMANOS AREA PROFISSIONAL GESTAO,RN,NE
2009,353,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE RECURSOS HUMANOS AREA PROFISSIONAL GESTAO,RN,NE
2009,5,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE RECURSOS HUMANOS EAD FIAN,RN,NE
2009,149,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE SEGURANCA PESSOAL E PATRIMONIAL AREA PROFISSIONALGESTAO,RN,NE
2009,7,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DE SEGURANCA PUBLICA,RN,NE
2009,78,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DESPORTIVA E DE LAZER - CAMPUS NATAL-CENTRAL,RN,NE
2009,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO DO TURISMO,RN,NE
2009,84,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO E MARKETING DE PEQUENAS E MEDIAS EMPRESAS - EAD,RN,NE
2009,3,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO FINANCEIRA,RN,NE
2009,7,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO FINANCEIRA,RN,NE
2009,31,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO FINANCEIRA AGRUPAMENTO DE AREAS PROFISSIONAIS COMERCIO E GESTAO,RN,NE
2009,219,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO FINANCEIRA AREA PROFISSIONAL GESTAO,RN,NE
2009,230,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO FINANCEIRA AREA PROFISSIONAL GESTAO,RN,NE
2009,3,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO FINANCEIRA MODALIDADE A DISTANCIA AREA PROFISSIONAL GESTAO,RN,NE
2009,270,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO PUBLICA,RN,NE
2009,16,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO PUBLICA  MODALIDADE A DISTANCIA,RN,NE
2009,137,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM GESTAO PUBLICA AGRUPAMENTO DE AREA PROFISSIONAL COMERCIO E GESTAO,RN,NE
2009,111,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM HOTELARIA AREA PROFISSIONAL LAZER E DESENVOLVIMENTO SOCIAL TURISMO E HOSPITALIDADE,RN,NE
2009,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM LOGISTICA,RN,NE
2009,7,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM LOGISTICA  MODALIDADE A DISTANCIA,RN,NE
2009,19,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM MARKETING,RN,NE
2009,225,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM MARKETING AREA PROFISSIONAL COMERCIO E GESTAO,RN,NE
2009,448,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM MARKETING DE VENDAS AREA PROFISSIONAL COMERCIO,RN,NE
2009,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM MARKETING E VENDAS,RN,NE
2009,11,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM MARKETING MODALIDADE A DISTANCIA,RN,NE
2009,11,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM MATERIAIS - CAMPUS NATAL-CENTRAL,RN,NE
2009,1,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM MULTIMIDIA DIGITAL,RN,NE
2009,19,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM NEGOCIOS IMOBILIARIOS,RN,NE
2009,10,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM NEGOCIOS IMOBILIARIOS,RN,NE
2009,63,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM NEGOCIOS IMOBILIARIOS EIXOTECNOLOGICO GESTAO E NEGOCIOS,RN,NE
2009,208,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM PETROLEO E GAS,RN,NE
2009,45,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM PETROLEO E GAS EIXO TECNOLOGICO PRODUCAO INDUSTRIAL,RN,NE
2009,16,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM PROCESSAMENTO EM GESTAO DE RECURSOS HUMANOS,RN,NE
2009,9,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS,RN,NE
2009,83,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS,RN,NE
2009,39,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAIS,RN,NE
2009,12,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM PROCESSOS GERENCIAISAGRUPAMENTO DE AREAS PROFISSIONAIS COMERCIO E GESTAOED,RN,NE
2009,9,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM RECURSOS HUMANOS,RN,NE
2009,148,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES - CAMPUS NATAL-CENTRAL,RN,NE
2009,161,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES AGRUPAMENTO DE AREAS PROFISSIONAIS INFORMATICA E TELECOMUNICACOES,RN,NE
2009,150,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM REDES DE COMPUTADORES EIXO TECNOLOGICO INFORMACAO E COMUNICACAO,RN,NE
2009,2,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM SECRETARIADO,RN,NE
2009,10,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM SECRETARIADO MODALIDADE A DISTANCIA,RN,NE
2009,169,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM SEGURANCA NO TRABALHO,RN,NE
2009,37,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM SISTEMAS PARA INTERNET AGRUPAMENTO DE AREAS PROFISSIONAIS INFORMATICA E TELECOMUNICACOES,RN,NE
2009,3,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,CURSO SUPERIOR DE TECNOLOGIA EM WEB DESIGN E PROGRAMACAO,RN,NE
2009,39,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DANCA NATAL,RN,NE
2009,41,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DESIGN,RN,NE
2009,258,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2009,556,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2009,110,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2009,270,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2009,1113,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2009,293,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2009,592,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2009,4937,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO,RN,NE
2009,1008,NORDESTE,RIO GRANDE DO NORTE,CAPITAL,NATAL,DIREITO NATAL,RN,NE
